text,mood
I feel so sad today,sad
I am feeling down,sad
My heart is broken,sad
I want to cry,sad
I feel low and upset,sad
I am unhappy,sad
Everything feels heavy,sad
I feel miserable today,sad
I feel emotionally drained,sad
I am having a rough day,sad
I feel amazing today,happy
I am so excited,happy
I feel great,happy
I am cheerful,happy
I am in a joyful mood,happy
Today feels awesome,happy
I feel fantastic,happy
I am feeling really positive,happy
Life feels good today,happy
I am in a great mood,happy
I want to relax,calm
I feel stressed and need peace,calm
I want soothing music,calm
I need something peaceful,calm
I want calm songs,calm
I need meditation music,calm
I want soft music to unwind,calm
I feel tense and need to relax,calm
I want quiet peaceful songs,calm
I need something gentle,calm
I am just vibing,chill
Give me chill songs,chill
I want laid back music,chill
I want mellow vibes,chill
Give me easy listening,chill
I need chill music tonight,chill
I want something cool and relaxed,chill
I want weekend vibe music,chill
I am in a lazy mood,chill
Give me smooth chill tracks,chill
Give me gym songs,energetic
I need workout music,energetic
I want hype music,energetic
I need energetic songs,energetic
I am going for a run,energetic
Give me pump up tracks,energetic
I want high energy songs,energetic
I need music for the gym,energetic
Give me powerful tracks,energetic
I want intense music,energetic
I need to study,focused
I want focus music,focused
I need music for work,focused
Give me songs for studying,focused
I need to concentrate,focused
I am coding and need focus,focused
I need deep focus music,focused
I want songs for productivity,focused
I am working on an assignment,focused
I need background music for studying,focused